# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-43.0769	40	0

-30.7692	1	330.32
-30.7692	3.05263	208.367
-30.7692	5.10526	147.718
-30.7692	7.15789	105.728
-30.7692	9.21053	74.5299
-30.7692	11.2632	48.7184
-30.7692	13.3158	27.0162
-30.7692	15.3684	8.02977
-30.7692	17.4211	-8.74923
-30.7692	19.4737	-23.7851
-30.7692	21.5263	-25.8892
-30.7692	23.5789	-23.8659
-30.7692	25.6316	-21.5212
-30.7692	27.6842	-19.2291
-30.7692	29.7368	-16.9279
-30.7692	31.7895	-14.3686
-30.7692	33.8421	-11.7875
-30.7692	35.8947	-8.21121
-30.7692	37.9474	-4.37528
-30.7692	40	0

-18.4615	1	325.546
-18.4615	3.05263	205.904
-18.4615	5.10526	146.043
-18.4615	7.15789	103.791
-18.4615	9.21053	72.5506
-18.4615	11.2632	47.8241
-18.4615	13.3158	26.1086
-18.4615	15.3684	7.05681
-18.4615	17.4211	-9.88847
-18.4615	19.4737	-25.2886
-18.4615	21.5263	-27.5411
-18.4615	23.5789	-25.0931
-18.4615	25.6316	-22.945
-18.4615	27.6842	-20.5949
-18.4615	29.7368	-18.1463
-18.4615	31.7895	-15.0205
-18.4615	33.8421	-11.8677
-18.4615	35.8947	-7.89751
-18.4615	37.9474	-4.24754
-18.4615	40	0

-6.15385	1	324.275
-6.15385	3.05263	204.16
-6.15385	5.10526	144.576
-6.15385	7.15789	104.539
-6.15385	9.21053	72.4484
-6.15385	11.2632	46.7631
-6.15385	13.3158	25.1644
-6.15385	15.3684	6.53214
-6.15385	17.4211	-10.6207
-6.15385	19.4737	-25.4873
-6.15385	21.5263	-27.6568
-6.15385	23.5789	-25.5665
-6.15385	25.6316	-23.214
-6.15385	27.6842	-20.7198
-6.15385	29.7368	-17.8558
-6.15385	31.7895	-14.5501
-6.15385	33.8421	-11.3947
-6.15385	35.8947	-7.9424
-6.15385	37.9474	-4.54155
-6.15385	40	0

6.15385	1	327.802
6.15385	3.05263	207.485
6.15385	5.10526	147.024
6.15385	7.15789	105.149
6.15385	9.21053	73.5041
6.15385	11.2632	47.845
6.15385	13.3158	25.959
6.15385	15.3684	7.86197
6.15385	17.4211	-8.91915
6.15385	19.4737	-23.7421
6.15385	21.5263	-25.8302
6.15385	23.5789	-23.7655
6.15385	25.6316	-21.7305
6.15385	27.6842	-19.5038
6.15385	29.7368	-16.989
6.15385	31.7895	-14.0991
6.15385	33.8421	-11.5088
6.15385	35.8947	-8.03874
6.15385	37.9474	-4.47559
6.15385	40	0

18.4615	1	335.53
18.4615	3.05263	211.098
18.4615	5.10526	150.321
18.4615	7.15789	108.202
18.4615	9.21053	75.9713
18.4615	11.2632	49.9745
18.4615	13.3158	28.7438
18.4615	15.3684	10.0677
18.4615	17.4211	-6.35243
18.4615	19.4737	-21.7233
18.4615	21.5263	-24.1358
18.4615	23.5789	-22.2041
18.4615	25.6316	-20.1888
18.4615	27.6842	-17.9807
18.4615	29.7368	-15.5834
18.4615	31.7895	-12.964
18.4615	33.8421	-10.153
18.4615	35.8947	-7.07918
18.4615	37.9474	-3.66777
18.4615	40	0

30.7692	1	347.311
30.7692	3.05263	221.11
30.7692	5.10526	157.092
30.7692	7.15789	114.059
30.7692	9.21053	81.1451
30.7692	11.2632	54.7205
30.7692	13.3158	32.7643
30.7692	15.3684	13.2724
30.7692	17.4211	-3.63174
30.7692	19.4737	-19.5411
30.7692	21.5263	-21.601
30.7692	23.5789	-19.7947
30.7692	25.6316	-18
30.7692	27.6842	-16.151
30.7692	29.7368	-13.8115
30.7692	31.7895	-11.3098
30.7692	33.8421	-8.70909
30.7692	35.8947	-6.25217
30.7692	37.9474	-3.04894
30.7692	40	0

43.0769	1	361.529
43.0769	3.05263	228.237
43.0769	5.10526	163.125
43.0769	7.15789	119.517
43.0769	9.21053	85.3342
43.0769	11.2632	58.415
43.0769	13.3158	35.5861
43.0769	15.3684	16.1591
43.0769	17.4211	-1.10229
43.0769	19.4737	-16.607
43.0769	21.5263	-19.0536
43.0769	23.5789	-17.3775
43.0769	25.6316	-15.8626
43.0769	27.6842	-13.9192
43.0769	29.7368	-12.4093
43.0769	31.7895	-10.1264
43.0769	33.8421	-7.74303
43.0769	35.8947	-5.59232
43.0769	37.9474	-2.97844
43.0769	40	0

55.3846	1	371.016
55.3846	3.05263	234.618
55.3846	5.10526	167.967
55.3846	7.15789	123.503
55.3846	9.21053	89.4533
55.3846	11.2632	62.1379
55.3846	13.3158	39.0879
55.3846	15.3684	19.0097
55.3846	17.4211	1.16969
55.3846	19.4737	-14.6625
55.3846	21.5263	-17.048
55.3846	23.5789	-15.565
55.3846	25.6316	-14.0834
55.3846	27.6842	-12.4913
55.3846	29.7368	-10.8095
55.3846	31.7895	-9.1232
55.3846	33.8421	-6.49668
55.3846	35.8947	-4.70749
55.3846	37.9474	-2.69587
55.3846	40	0

67.6923	1	383.515
67.6923	3.05263	243.194
67.6923	5.10526	174.279
67.6923	7.15789	128.711
67.6923	9.21053	94.0575
67.6923	11.2632	65.5262
67.6923	13.3158	41.7847
67.6923	15.3684	21.5294
67.6923	17.4211	3.68689
67.6923	19.4737	-12.1872
67.6923	21.5263	-15.0425
67.6923	23.5789	-13.9035
67.6923	25.6316	-12.4406
67.6923	27.6842	-11.0623
67.6923	29.7368	-9.44635
67.6923	31.7895	-7.73726
67.6923	33.8421	-5.72401
67.6923	35.8947	-3.86351
67.6923	37.9474	-1.91551
67.6923	40	0

80	1	393.036
80	3.05263	249.058
80	5.10526	179.234
80	7.15789	132.141
80	9.21053	97.0193
80	11.2632	68.8318
80	13.3158	44.6511
80	15.3684	24.0395
80	17.4211	5.93507
80	19.4737	-10.0567
80	21.5263	-12.8844
80	23.5789	-11.8732
80	25.6316	-10.6049
80	27.6842	-9.33697
80	29.7368	-7.96731
80	31.7895	-6.29762
80	33.8421	-5.01497
80	35.8947	-3.67536
80	37.9474	-1.93543
80	40	0

92.3077	1	404.802
92.3077	3.05263	254.934
92.3077	5.10526	183.732
92.3077	7.15789	135.928
92.3077	9.21053	99.901
92.3077	11.2632	71.1807
92.3077	13.3158	47.1494
92.3077	15.3684	26.4317
92.3077	17.4211	8.74004
92.3077	19.4737	-7.57646
92.3077	21.5263	-10.7267
92.3077	23.5789	-9.82111
92.3077	25.6316	-8.88134
92.3077	27.6842	-7.92374
92.3077	29.7368	-7.01377
92.3077	31.7895	-6.00281
92.3077	33.8421	-4.85963
92.3077	35.8947	-3.17932
92.3077	37.9474	-1.6667
92.3077	40	0

104.615	1	416.079
104.615	3.05263	262.085
104.615	5.10526	189.744
104.615	7.15789	141.346
104.615	9.21053	104.659
104.615	11.2632	74.8536
104.615	13.3158	50.3932
104.615	15.3684	29.4316
104.615	17.4211	10.6494
104.615	19.4737	-6.01245
104.615	21.5263	-9.69579
104.615	23.5789	-9.11031
104.615	25.6316	-8.11805
104.615	27.6842	-7.07133
104.615	29.7368	-6.04285
104.615	31.7895	-4.62722
104.615	33.8421	-3.69844
104.615	35.8947	-2.36539
104.615	37.9474	-1.29211
104.615	40	0

116.923	1	421.843
116.923	3.05263	266.05
116.923	5.10526	191.361
116.923	7.15789	142.925
116.923	9.21053	106.495
116.923	11.2632	77.1159
116.923	13.3158	52.5406
116.923	15.3684	31.2516
116.923	17.4211	12.4022
116.923	19.4737	-4.13931
116.923	21.5263	-7.51745
116.923	23.5789	-7.06971
116.923	25.6316	-6.23339
116.923	27.6842	-5.36994
116.923	29.7368	-4.63021
116.923	31.7895	-3.90911
116.923	33.8421	-2.85123
116.923	35.8947	-1.93682
116.923	37.9474	-1.18105
116.923	40	0

129.231	1	431.844
129.231	3.05263	271.876
129.231	5.10526	196.2
129.231	7.15789	146.781
129.231	9.21053	109.257
129.231	11.2632	79.34
129.231	13.3158	54.6151
129.231	15.3684	33.2229
129.231	17.4211	14.6721
129.231	19.4737	-1.91481
129.231	21.5263	-5.61344
129.231	23.5789	-5.17683
129.231	25.6316	-4.74004
129.231	27.6842	-4.14051
129.231	29.7368	-3.74341
129.231	31.7895	-3.13973
129.231	33.8421	-2.50626
129.231	35.8947	-1.68061
129.231	37.9474	-0.931386
129.231	40	0

141.538	1	441.062
141.538	3.05263	277.669
141.538	5.10526	201.297
141.538	7.15789	151.141
141.538	9.21053	113.014
141.538	11.2632	82.6265
141.538	13.3158	57.3645
141.538	15.3684	35.5288
141.538	17.4211	16.5984
141.538	19.4737	-0.338933
141.538	21.5263	-4.11404
141.538	23.5789	-3.85471
141.538	25.6316	-3.48527
141.538	27.6842	-3.14425
141.538	29.7368	-2.81098
141.538	31.7895	-2.35126
141.538	33.8421	-1.82728
141.538	35.8947	-1.24653
141.538	37.9474	-0.739103
141.538	40	0

153.846	1	448.954
153.846	3.05263	282.69
153.846	5.10526	204.997
153.846	7.15789	153.761
153.846	9.21053	115.395
153.846	11.2632	84.7874
153.846	13.3158	59.2931
153.846	15.3684	37.2143
153.846	17.4211	18.0609
153.846	19.4737	0.898829
153.846	21.5263	-2.8586
153.846	23.5789	-2.59429
153.846	25.6316	-2.24626
153.846	27.6842	-1.96475
153.846	29.7368	-1.81319
153.846	31.7895	-1.27495
153.846	33.8421	-1.10393
153.846	35.8947	-0.768696
153.846	37.9474	-0.415218
153.846	40	0

166.154	1	455.016
166.154	3.05263	286.358
166.154	5.10526	207.886
166.154	7.15789	156.302
166.154	9.21053	117.365
166.154	11.2632	86.5712
166.154	13.3158	60.7621
166.154	15.3684	38.8793
166.154	17.4211	19.6661
166.154	19.4737	2.3614
166.154	21.5263	-1.6009
166.154	23.5789	-1.39608
166.154	25.6316	-1.22581
166.154	27.6842	-1.02758
166.154	29.7368	-0.829426
166.154	31.7895	-0.544761
166.154	33.8421	-0.52006
166.154	35.8947	-0.324107
166.154	37.9474	-0.141593
166.154	40	0

178.462	1	459.667
178.462	3.05263	288.978
178.462	5.10526	210.314
178.462	7.15789	158.036
178.462	9.21053	119.08
178.462	11.2632	87.9945
178.462	13.3158	62.1006
178.462	15.3684	40.063
178.462	17.4211	20.5931
178.462	19.4737	3.45404
178.462	21.5263	-0.670506
178.462	23.5789	-0.52249
178.462	25.6316	-0.411132
178.462	27.6842	-0.347572
178.462	29.7368	-0.291425
178.462	31.7895	-0.238927
178.462	33.8421	-0.100811
178.462	35.8947	-0.0960677
178.462	37.9474	-0.0470769
178.462	40	0

190.769	1	463.291
190.769	3.05263	290.947
190.769	5.10526	211.954
190.769	7.15789	159.399
190.769	9.21053	120.137
190.769	11.2632	88.9794
190.769	13.3158	63.0187
190.769	15.3684	40.6936
190.769	17.4211	21.264
190.769	19.4737	3.9506
190.769	21.5263	-0.154987
190.769	23.5789	-0.105925
190.769	25.6316	-0.101962
190.769	27.6842	-0.0981453
190.769	29.7368	-0.0944895
190.769	31.7895	-0.0470277
190.769	33.8421	0
190.769	35.8947	0
190.769	37.9474	0
190.769	40	0

203.077	1	466.373
203.077	3.05263	292.776
203.077	5.10526	212.685
203.077	7.15789	160.014
203.077	9.21053	120.674
203.077	11.2632	89.3313
203.077	13.3158	63.3544
203.077	15.3684	41.0149
203.077	17.4211	21.5362
203.077	19.4737	4.16025
203.077	21.5263	0
203.077	23.5789	0
203.077	25.6316	0
203.077	27.6842	0
203.077	29.7368	0
203.077	31.7895	0
203.077	33.8421	0
203.077	35.8947	0
203.077	37.9474	0
203.077	40	0

215.385	1	467.334
215.385	3.05263	293.238
215.385	5.10526	213.012
215.385	7.15789	160.293
215.385	9.21053	120.96
215.385	11.2632	89.5745
215.385	13.3158	63.458
215.385	15.3684	41.0931
215.385	17.4211	21.5362
215.385	19.4737	4.16025
215.385	21.5263	0
215.385	23.5789	0
215.385	25.6316	0
215.385	27.6842	0
215.385	29.7368	0
215.385	31.7895	0
215.385	33.8421	0
215.385	35.8947	0
215.385	37.9474	0
215.385	40	0

227.692	1	467.334
227.692	3.05263	293.238
227.692	5.10526	213.012
227.692	7.15789	160.293
227.692	9.21053	120.96
227.692	11.2632	89.5745
227.692	13.3158	63.458
227.692	15.3684	41.0931
227.692	17.4211	21.5362
227.692	19.4737	4.16025
227.692	21.5263	0
227.692	23.5789	0
227.692	25.6316	0
227.692	27.6842	0
227.692	29.7368	0
227.692	31.7895	0
227.692	33.8421	0
227.692	35.8947	0
227.692	37.9474	0
227.692	40	0

240	1	467.334
240	3.05263	293.238
240	5.10526	213.012
240	7.15789	160.293
240	9.21053	120.96
240	11.2632	89.5745
240	13.3158	63.458
240	15.3684	41.0931
240	17.4211	21.5362
240	19.4737	4.16025
240	21.5263	0
240	23.5789	0
240	25.6316	0
240	27.6842	0
240	29.7368	0
240	31.7895	0
240	33.8421	0
240	35.8947	0
240	37.9474	0
240	40	0

