# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-240	1	467.334
-240	3.05263	293.238
-240	5.10526	213.012
-240	7.15789	160.293
-240	9.21053	120.96
-240	11.2632	89.5745
-240	13.3158	63.458
-240	15.3684	41.0931
-240	17.4211	21.5362
-240	19.4737	4.16025
-240	21.5263	0
-240	23.5789	0
-240	25.6316	0
-240	27.6842	0
-240	29.7368	0
-240	31.7895	0
-240	33.8421	0
-240	35.8947	0
-240	37.9474	0
-240	40	0

-227.692	1	467.334
-227.692	3.05263	293.238
-227.692	5.10526	213.012
-227.692	7.15789	160.293
-227.692	9.21053	120.96
-227.692	11.2632	89.5745
-227.692	13.3158	63.458
-227.692	15.3684	41.0931
-227.692	17.4211	21.5362
-227.692	19.4737	4.16025
-227.692	21.5263	0
-227.692	23.5789	0
-227.692	25.6316	0
-227.692	27.6842	0
-227.692	29.7368	0
-227.692	31.7895	0
-227.692	33.8421	0
-227.692	35.8947	0
-227.692	37.9474	0
-227.692	40	0

-215.385	1	465.764
-215.385	3.05263	292.476
-215.385	5.10526	212.474
-215.385	7.15789	159.829
-215.385	9.21053	120.559
-215.385	11.2632	89.365
-215.385	13.3158	63.2461
-215.385	15.3684	40.8554
-215.385	17.4211	21.3505
-215.385	19.4737	4.01238
-215.385	21.5263	-0.0927521
-215.385	23.5789	0
-215.385	25.6316	0
-215.385	27.6842	0
-215.385	29.7368	0
-215.385	31.7895	0
-215.385	33.8421	0
-215.385	35.8947	0
-215.385	37.9474	0
-215.385	40	0

-203.077	1	464.745
-203.077	3.05263	291.96
-203.077	5.10526	212.124
-203.077	7.15789	159.586
-203.077	9.21053	120.327
-203.077	11.2632	89.0085
-203.077	13.3158	62.9544
-203.077	15.3684	40.696
-203.077	17.4211	21.2217
-203.077	19.4737	3.85585
-203.077	21.5263	-0.308595
-203.077	23.5789	-0.257746
-203.077	25.6316	-0.205526
-203.077	27.6842	-0.19746
-203.077	29.7368	-0.147843
-203.077	31.7895	-0.141871
-203.077	33.8421	-0.0472799
-203.077	35.8947	0
-203.077	37.9474	0
-203.077	40	0

-190.769	1	461.633
-190.769	3.05263	290.061
-190.769	5.10526	210.492
-190.769	7.15789	158.437
-190.769	9.21053	119.584
-190.769	11.2632	88.5984
-190.769	13.3158	62.5736
-190.769	15.3684	40.3048
-190.769	17.4211	20.733
-190.769	19.4737	3.40545
-190.769	21.5263	-0.683139
-190.769	23.5789	-0.655518
-190.769	25.6316	-0.550803
-190.769	27.6842	-0.407108
-190.769	29.7368	-0.307669
-190.769	31.7895	-0.293485
-190.769	33.8421	-0.240344
-190.769	35.8947	-0.145407
-190.769	37.9474	-0.138662
-190.769	40	0

-178.462	1	458.78
-178.462	3.05263	288.321
-178.462	5.10526	209.322
-178.462	7.15789	157.42
-178.462	9.21053	118.414
-178.462	11.2632	87.3372
-178.462	13.3158	61.5746
-178.462	15.3684	39.4268
-178.462	17.4211	20.0439
-178.462	19.4737	2.84583
-178.462	21.5263	-1.19951
-178.462	23.5789	-1.05235
-178.462	25.6316	-0.897326
-178.462	27.6842	-0.74594
-178.462	29.7368	-0.674834
-178.462	31.7895	-0.573178
-178.462	33.8421	-0.507738
-178.462	35.8947	-0.32107
-178.462	37.9474	-0.186924
-178.462	40	0

-166.154	1	452.31
-166.154	3.05263	284.53
-166.154	5.10526	206.691
-166.154	7.15789	155.174
-166.154	9.21053	116.585
-166.154	11.2632	86.0974
-166.154	13.3158	60.5998
-166.154	15.3684	38.4723
-166.154	17.4211	19.1432
-166.154	19.4737	1.99757
-166.154	21.5263	-1.8646
-166.154	23.5789	-1.75574
-166.154	25.6316	-1.57698
-166.154	27.6842	-1.33055
-166.154	29.7368	-1.12131
-166.154	31.7895	-0.903197
-166.154	33.8421	-0.639295
-166.154	35.8947	-0.420111
-166.154	37.9474	-0.189465
-166.154	40	0

-153.846	1	443.285
-153.846	3.05263	279.86
-153.846	5.10526	202.704
-153.846	7.15789	152.335
-153.846	9.21053	114.27
-153.846	11.2632	83.7273
-153.846	13.3158	58.2357
-153.846	15.3684	36.3489
-153.846	17.4211	17.1476
-153.846	19.4737	0.244774
-153.846	21.5263	-3.46421
-153.846	23.5789	-3.04561
-153.846	25.6316	-2.63037
-153.846	27.6842	-2.20502
-153.846	29.7368	-1.64465
-153.846	31.7895	-1.26868
-153.846	33.8421	-0.969422
-153.846	35.8947	-0.605775
-153.846	37.9474	-0.32981
-153.846	40	0

-141.538	1	435.302
-141.538	3.05263	274.213
-141.538	5.10526	198.181
-141.538	7.15789	148.254
-141.538	9.21053	111.047
-141.538	11.2632	81.1062
-141.538	13.3158	56.2094
-141.538	15.3684	34.659
-141.538	17.4211	15.4064
-141.538	19.4737	-1.49922
-141.538	21.5263	-5.41702
-141.538	23.5789	-4.90168
-141.538	25.6316	-4.45478
-141.538	27.6842	-3.68249
-141.538	29.7368	-2.9863
-141.538	31.7895	-2.42924
-141.538	33.8421	-1.79513
-141.538	35.8947	-1.16447
-141.538	37.9474	-0.565102
-141.538	40	0

-129.231	1	423.923
-129.231	3.05263	267.152
-129.231	5.10526	193.336
-129.231	7.15789	144.228
-129.231	9.21053	107.429
-129.231	11.2632	77.3752
-129.231	13.3158	52.6741
-129.231	15.3684	31.5336
-129.231	17.4211	13.0244
-129.231	19.4737	-3.6349
-129.231	21.5263	-7.18024
-129.231	23.5789	-6.53846
-129.231	25.6316	-5.75567
-129.231	27.6842	-5.05734
-129.231	29.7368	-4.47019
-129.231	31.7895	-3.88376
-129.231	33.8421	-3.20988
-129.231	35.8947	-2.19176
-129.231	37.9474	-1.14462
-129.231	40	0

-116.923	1	412.748
-116.923	3.05263	259.488
-116.923	5.10526	188.617
-116.923	7.15789	139.951
-116.923	9.21053	103.736
-116.923	11.2632	74.545
-116.923	13.3158	50.0302
-116.923	15.3684	28.9923
-116.923	17.4211	10.7675
-116.923	19.4737	-5.83111
-116.923	21.5263	-9.24699
-116.923	23.5789	-8.45643
-116.923	25.6316	-7.68216
-116.923	27.6842	-6.82727
-116.923	29.7368	-5.91723
-116.923	31.7895	-5.09748
-116.923	33.8421	-3.92588
-116.923	35.8947	-2.98006
-116.923	37.9474	-1.60728
-116.923	40	0

-104.615	1	399.934
-104.615	3.05263	252.85
-104.615	5.10526	182.306
-104.615	7.15789	134.929
-104.615	9.21053	99.3146
-104.615	11.2632	71.1012
-104.615	13.3158	47.0623
-104.615	15.3684	25.9234
-104.615	17.4211	7.61613
-104.615	19.4737	-8.79146
-104.615	21.5263	-11.8421
-104.615	23.5789	-10.9101
-104.615	25.6316	-9.68479
-104.615	27.6842	-8.33166
-104.615	29.7368	-7.38154
-104.615	31.7895	-6.15262
-104.615	33.8421	-4.74201
-104.615	35.8947	-3.28835
-104.615	37.9474	-1.82485
-104.615	40	0

-92.3077	1	387.72
-92.3077	3.05263	243.489
-92.3077	5.10526	174.887
-92.3077	7.15789	127.977
-92.3077	9.21053	93.7657
-92.3077	11.2632	66.1184
-92.3077	13.3158	42.8628
-92.3077	15.3684	22.5709
-92.3077	17.4211	4.77448
-92.3077	19.4737	-11.4058
-92.3077	21.5263	-14.5627
-92.3077	23.5789	-13.2387
-92.3077	25.6316	-12.0283
-92.3077	27.6842	-10.8051
-92.3077	29.7368	-9.30523
-92.3077	31.7895	-7.48083
-92.3077	33.8421	-5.67136
-92.3077	35.8947	-3.46589
-92.3077	37.9474	-2.2155
-92.3077	40	0

-80	1	375.611
-80	3.05263	236.218
-80	5.10526	169.589
-80	7.15789	124.008
-80	9.21053	90.628
-80	11.2632	63.4383
-80	13.3158	39.7185
-80	15.3684	19.4362
-80	17.4211	1.53422
-80	19.4737	-14.2501
-80	21.5263	-16.7463
-80	23.5789	-15.4015
-80	25.6316	-13.7812
-80	27.6842	-12.3315
-80	29.7368	-10.4833
-80	31.7895	-8.89771
-80	33.8421	-6.93636
-80	35.8947	-4.96782
-80	37.9474	-2.44651
-80	40	0

-67.6923	1	362.899
-67.6923	3.05263	227.661
-67.6923	5.10526	161.915
-67.6923	7.15789	117.76
-67.6923	9.21053	85.3142
-67.6923	11.2632	58.6484
-67.6923	13.3158	35.7457
-67.6923	15.3684	16.1175
-67.6923	17.4211	-1.39878
-67.6923	19.4737	-16.9167
-67.6923	21.5263	-19.475
-67.6923	23.5789	-17.8576
-67.6923	25.6316	-16.1718
-67.6923	27.6842	-13.9787
-67.6923	29.7368	-12.09
-67.6923	31.7895	-10.0559
-67.6923	33.8421	-7.886
-67.6923	35.8947	-5.27892
-67.6923	37.9474	-2.94646
-67.6923	40	0

-55.3846	1	352.485
-55.3846	3.05263	221.453
-55.3846	5.10526	158.398
-55.3846	7.15789	115.57
-55.3846	9.21053	82.0491
-55.3846	11.2632	55.4681
-55.3846	13.3158	32.8876
-55.3846	15.3684	13.5385
-55.3846	17.4211	-3.9232
-55.3846	19.4737	-19.619
-55.3846	21.5263	-22.2119
-55.3846	23.5789	-20.293
-55.3846	25.6316	-18.1709
-55.3846	27.6842	-16.2808
-55.3846	29.7368	-14.2075
-55.3846	31.7895	-11.6806
-55.3846	33.8421	-8.92951
-55.3846	35.8947	-5.98721
-55.3846	37.9474	-3.27185
-55.3846	40	0

-43.0769	1	341.274
-43.0769	3.05263	214.712
-43.0769	5.10526	153.028
-43.0769	7.15789	110.838
-43.0769	9.21053	77.9475
-43.0769	11.2632	51.7775
-43.0769	13.3158	29.6585
-43.0769	15.3684	10.175
-43.0769	17.4211	-6.54943
-43.0769	19.4737	-21.9642
-43.0769	21.5263	-24.031
-43.0769	23.5789	-22.2749
-43.0769	25.6316	-20.1409
-43.0769	27.6842	-17.9842
-43.0769	29.7368	-15.6061
-43.0769	31.7895	-13.0806
-43.0769	33.8421	-10.2271
-43.0769	35.8947	-7.45893
-43.0769	37.9474	-3.99638
