# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-104.615	9.21053	110.403
-104.615	11.2632	80.7944
-104.615	13.3158	55.8061
-104.615	15.3684	34.0904
-104.615	17.4211	15.1952
-104.615	19.4737	-1.67955
-104.615	21.5263	-5.27095
-104.615	23.5789	-4.80066
-104.615	25.6316	-4.20059
-104.615	27.6842	-3.56306
-104.615	29.7368	-3.12076
-104.615	31.7895	-2.5583
-104.615	33.8421	-1.9317
-104.615	35.8947	-1.31392
-104.615	37.9474	-0.712061
-104.615	40	0

-92.3077	1	415.665
-92.3077	3.05263	264.616
-92.3077	5.10526	192.447
-92.3077	7.15789	143.489
-92.3077	9.21053	107.365
-92.3077	11.2632	78.1843
-92.3077	13.3158	53.6944
-92.3077	15.3684	32.4611
-92.3077	17.4211	13.8599
-92.3077	19.4737	-2.88023
-92.3077	21.5263	-6.51351
-92.3077	23.5789	-5.84369
-92.3077	25.6316	-5.24511
-92.3077	27.6842	-4.65747
-92.3077	29.7368	-3.94642
-92.3077	31.7895	-3.10496
-92.3077	33.8421	-2.3191
-92.3077	35.8947	-1.37265
-92.3077	37.9474	-0.861445
-92.3077	40	0

-80	1	407.408
-80	3.05263	260.298
-80	5.10526	189.513
-80	7.15789	141.514
-80	9.21053	105.833
-80	11.2632	76.946
-80	13.3158	52.1874
-80	15.3684	30.9896
-80	17.4211	12.3346
-80	19.4737	-4.1956
-80	21.5263	-7.50456
-80	23.5789	-6.81799
-80	25.6316	-6.01125
-80	27.6842	-5.30716
-80	29.7368	-4.44088
-80	31.7895	-3.7143
-80	33.8421	-2.83941
-80	35.8947	-1.98547
-80	37.9474	-0.951336
-80	40	0

-67.6923	1	399.013
-67.6923	3.05263	255.168
-67.6923	5.10526	185.16
-67.6923	7.15789	138.092
-67.6923	9.21053	103.046
-67.6923	11.2632	74.4983
-67.6923	13.3158	50.2332
-67.6923	15.3684	29.4155
-67.6923	17.4211	10.9609
-67.6923	19.4737	-5.43887
-67.6923	21.5263	-8.76635
-67.6923	23.5789	-7.93988
-67.6923	25.6316	-7.10184
-67.6923	27.6842	-6.04174
-67.6923	29.7368	-5.13444
-67.6923	31.7895	-4.20144
-67.6923	33.8421	-3.2391
-67.6923	35.8947	-2.11188
-67.6923	37.9474	-1.14721
-67.6923	40	0

-55.3846	1	392.199
-55.3846	3.05263	251.648
-55.3846	5.10526	183.403
-55.3846	7.15789	137.12
-55.3846	9.21053	101.418
-55.3846	11.2632	72.9157
-55.3846	13.3158	48.8611
-55.3846	15.3684	28.2034
-55.3846	17.4211	9.77784
-55.3846	19.4737	-6.70222
-55.3846	21.5263	-10.0392
-55.3846	23.5789	-9.05938
-55.3846	25.6316	-7.99569
-55.3846	27.6842	-7.06602
-55.3846	29.7368	-6.07268
-55.3846	31.7895	-4.90214
-55.3846	33.8421	-3.66415
-55.3846	35.8947	-2.40296
-55.3846	37.9474	-1.28025
-55.3846	40	0

-43.0769	1	384.682
-43.0769	3.05263	247.614
-43.0769	5.10526	180.482
-43.0769	7.15789	134.626
-43.0769	9.21053	99.3242
-43.0769	11.2632	71.0674
-43.0769	13.3158	47.2652
-43.0769	15.3684	26.5117
-43.0769	17.4211	8.51188
-43.0769	19.4737	-7.80656
-43.0769	21.5263	-10.8751
-43.0769	23.5789	-9.9576
-43.0769	25.6316	-8.89371
-43.0769	27.6842	-7.82835
-43.0769	29.7368	-6.67795
-43.0769	31.7895	-5.49781
-43.0769	33.8421	-4.21497
-43.0769	35.8947	-3.00723
-43.0769	37.9474	-1.56687
-43.0769	40	0

-30.7692	1	377.358
-30.7692	3.05263	243.933
-30.7692	5.10526	177.453
-30.7692	7.15789	131.803
-30.7692	9.21053	97.5752
-30.7692	11.2632	69.5498
-30.7692	13.3158	46.0012
-30.7692	15.3684	25.5466
-30.7692	17.4211	7.5133
-30.7692	19.4737	-8.61432
-30.7692	21.5263	-11.7034
-30.7692	23.5789	-10.6632
-30.7692	25.6316	-9.48845
-30.7692	27.6842	-8.36067
-30.7692	29.7368	-7.25146
-30.7692	31.7895	-6.06571
-30.7692	33.8421	-4.88267
-30.7692	35.8947	-3.31212
-30.7692	37.9474	-1.71272
-30.7692	40	0

-18.4615	1	374.52
-18.4615	3.05263	242.81
-18.4615	5.10526	176.736
-18.4615	7.15789	130.823
-18.4615	9.21053	96.5819
-18.4615	11.2632	69.1848
-18.4615	13.3158	45.5904
-18.4615	15.3684	25.1004
-18.4615	17.4211	6.98421
-18.4615	19.4737	-9.31534
-18.4615	21.5263	-12.4661
-18.4615	23.5789	-11.1958
-18.4615	25.6316	-10.1076
-18.4615	27.6842	-8.94037
-18.4615	29.7368	-7.76341
-18.4615	31.7895	-6.30516
-18.4615	33.8421	-4.87489
-18.4615	35.8947	-3.1571
-18.4615	37.9474	-1.65967
-18.4615	40	0

-6.15385	1	373.868
-6.15385	3.05263	241.643
-6.15385	5.10526	175.828
-6.15385	7.15789	131.461
-6.15385	9.21053	96.6292
-6.15385	11.2632	68.6568
-6.15385	13.3158	45.1674
-6.15385	15.3684	24.9079
-6.15385	17.4211	6.67454
-6.15385	19.4737	-9.35847
-6.15385	21.5263	-12.473
-6.15385	23.5789	-11.3975
-6.15385	25.6316	-10.2133
-6.15385	27.6842	-8.98926
-6.15385	29.7368	-7.60528
-6.15385	31.7895	-6.07056
-6.15385	33.8421	-4.66194
-6.15385	35.8947	-3.17916
-6.15385	37.9474	-1.78176
-6.15385	40	0

6.15385	1	376.037
6.15385	3.05263	243.793
6.15385	5.10526	177.329
6.15385	7.15789	131.713
6.15385	9.21053	97.1759
6.15385	11.2632	69.2044
6.15385	13.3158	45.5217
6.15385	15.3684	25.5417
6.15385	17.4211	7.50565
6.15385	19.4737	-8.49681
6.15385	21.5263	-11.5795
6.15385	23.5789	-10.5237
6.15385	25.6316	-9.50878
6.15385	27.6842	-8.40328
6.15385	29.7368	-7.20543
6.15385	31.7895	-5.88465
6.15385	33.8421	-4.72644
6.15385	35.8947	-3.22346
6.15385	37.9474	-1.74939
6.15385	40	0

18.4615	1	381.061
18.4615	3.05263	245.629
18.4615	5.10526	179.019
18.4615	7.15789	133.193
18.4615	9.21053	98.3323
18.4615	11.2632	70.1935
18.4615	13.3158	46.904
18.4615	15.3684	26.5972
18.4615	17.4211	8.75288
18.4615	19.4737	-7.56326
18.4615	21.5263	-10.813
18.4615	23.5789	-9.81824
18.4615	25.6316	-8.81251
18.4615	27.6842	-7.74268
18.4615	29.7368	-6.61129
18.4615	31.7895	-5.39606
18.4615	33.8421	-4.14777
18.4615	35.8947	-2.83069
18.4615	37.9474	-1.43276
18.4615	40	0

30.7692	1	389.125
30.7692	3.05263	252.113
30.7692	5.10526	183.053
30.7692	7.15789	136.55
30.7692	9.21053	101.165
30.7692	11.2632	72.7262
30.7692	13.3158	48.9748
30.7692	15.3684	28.1873
30.7692	17.4211	10.039
30.7692	19.4737	-6.56979
30.7692	21.5263	-9.6386
30.7692	23.5789	-8.72398
30.7692	25.6316	-7.84012
30.7692	27.6842	-6.94367
30.7692	29.7368	-5.84509
30.7692	31.7895	-4.69919
30.7692	33.8421	-3.53657
30.7692	35.8947	-2.49182
30.7692	37.9474	-1.18306
30.7692	40	0

43.0769	1	398.638
43.0769	3.05263	256.035
43.0769	5.10526	186.138
43.0769	7.15789	139.378
43.0769	9.21053	103.199
43.0769	11.2632	74.492
43.0769	13.3158	50.2606
43.0769	15.3684	29.5211
43.0769	17.4211	11.2027
43.0769	19.4737	-5.18208
43.0769	21.5263	-8.45986
43.0769	23.5789	-7.62871
43.0769	25.6316	-6.88434
43.0769	27.6842	-5.94954
43.0769	29.7368	-5.24175
43.0769	31.7895	-4.19595
43.0769	33.8421	-3.14761
43.0769	35.8947	-2.23396
43.0769	37.9474	-1.16147
43.0769	40	0

55.3846	1	404.497
55.3846	3.05263	259.613
55.3846	5.10526	188.79
55.3846	7.15789	141.405
55.3846	9.21053	105.367
55.3846	11.2632	76.3763
55.3846	13.3158	51.994
55.3846	15.3684	30.8749
55.3846	17.4211	12.2487
55.3846	19.4737	-4.31875
55.3846	21.5263	-7.57977
55.3846	23.5789	-6.83921
55.3846	25.6316	-6.10964
55.3846	27.6842	-5.34117
55.3846	29.7368	-4.55736
55.3846	31.7895	-3.79201
55.3846	33.8421	-2.63133
55.3846	35.8947	-1.87891
55.3846	37.9474	-1.0526
55.3846	40	0

67.6923	1	413.162
67.6923	3.05263	264.893
67.6923	5.10526	192.415
67.6923	7.15789	144.295
67.6923	9.21053	107.82
67.6923	11.2632	78.0947
67.6923	13.3158	53.2895
67.6923	15.3684	32.0697
67.6923	17.4211	13.4148
67.6923	19.4737	-3.18392
67.6923	21.5263	-6.68492
67.6923	23.5789	-6.1132
67.6923	25.6316	-5.39346
67.6923	27.6842	-4.73037
67.6923	29.7368	-3.98309
67.6923	31.7895	-3.20196
67.6923	33.8421	-2.32144
67.6923	35.8947	-1.52662
67.6923	37.9474	-0.738693
67.6923	40	0

80	1	419.127
80	3.05263	268.128
80	5.10526	195.022
80	7.15789	145.899
80	9.21053	109.139
80	11.2632	79.6409
80	13.3158	54.6152
80	15.3684	33.214
80	17.4211	14.4313
80	19.4737	-2.23138
80	21.5263	-5.71607
80	23.5789	-5.21479
80	25.6316	-4.59414
80	27.6842	-3.98065
80	29.7368	-3.34276
80	31.7895	-2.59193
80	33.8421	-2.0311
80	35.8947	-1.45709
80	37.9474	-0.753967
80	40	0

92.3077	1	427.009
92.3077	3.05263	271.493
92.3077	5.10526	197.45
92.3077	7.15789	147.853
92.3077	9.21053	110.531
92.3077	11.2632	80.6934
92.3077	13.3158	55.7594
92.3077	15.3684	34.2895
92.3077	17.4211	15.7193
92.3077	19.4737	-1.09693
92.3077	21.5263	-4.74708
92.3077	23.5789	-4.29052
92.3077	25.6316	-3.8377
92.3077	27.6842	-3.37813
92.3077	29.7368	-2.95638
92.3077	31.7895	-2.49335
92.3077	33.8421	-1.99096
92.3077	35.8947	-1.26698
92.3077	37.9474	-0.647515
92.3077	40	0

104.615	1	434.654
104.615	3.05263	275.721
104.615	5.10526	200.723
104.615	7.15789	150.731
104.615	9.21053	112.982
104.615	11.2632	82.5197
104.615	13.3158	57.3567
104.615	15.3684	35.7383
104.615	17.4211	16.5974
104.615	19.4737	-0.404496
104.615	21.5263	-4.32081
104.615	23.5789	-4.02062
104.615	25.6316	-3.53262
104.615	27.6842	-3.02736
104.615	29.7368	-2.55211
104.615	31.7895	-1.90944
104.615	33.8421	-1.50739
104.615	35.8947	-0.941103
104.615	37.9474	-0.502141
104.615	40	0

116.923	1	437.907
116.923	3.05263	277.876
116.923	5.10526	201.433
116.923	7.15789	151.414
116.923	9.21053	113.841
116.923	11.2632	83.6454
116.923	13.3158	58.3717
116.923	15.3684	36.5773
116.923	17.4211	17.3982
116.923	19.4737	0.446688
116.923	21.5263	-3.32714
116.923	23.5789	-3.10143
116.923	25.6316	-2.69809
116.923	27.6842	-2.28931
116.923	29.7368	-1.94888
116.923	31.7895	-1.62105
116.923	33.8421	-1.15662
116.923	35.8947	-0.766292
116.923	37.9474	-0.461889
116.923	40	0

129.231	1	444.749
129.231	3.05263	281.271
129.231	5.10526	204.124
129.231	7.15789	153.436
129.231	9.21053	115.195
129.231	11.2632	84.6778
129.231	13.3158	59.3398
129.231	15.3684	37.4968
129.231	17.4211	18.4503
129.231	19.4737	1.46592
129.231	21.5263	-2.46521
129.231	23.5789	-2.25255
129.231	25.6316	-2.03821
129.231	27.6842	-1.75546
129.231	29.7368	-1.57033
129.231	31.7895	-1.29928
129.231	33.8421	-1.02107
129.231	35.8947	-0.670186
129.231	37.9474	-0.36062
129.231	40	0

141.538	1	450.798
141.538	3.05263	284.617
141.538	5.10526	206.971
141.538	7.15789	155.82
141.538	9.21053	117.164
141.538	11.2632	86.3244
141.538	13.3158	60.672
141.538	15.3684	38.5889
141.538	17.4211	19.3524
141.538	19.4737	2.194
141.538	21.5263	-1.77942
141.538	23.5789	-1.6534
141.538	25.6316	-1.48474
141.538	27.6842	-1.32697
141.538	29.7368	-1.17502
141.538	31.7895	-0.968197
141.538	33.8421	-0.737985
141.538	35.8947	-0.493409
141.538	37.9474	-0.286779
141.538	40	0

153.846	1	456.187
153.846	3.05263	287.608
153.846	5.10526	208.971
153.846	7.15789	157.107
153.846	9.21053	118.35
153.846	11.2632	87.3859
153.846	13.3158	61.5959
153.846	15.3684	39.3861
153.846	17.4211	20.0285
153.846	19.4737	2.75766
153.846	21.5263	-1.21908
153.846	23.5789	-1.09268
153.846	25.6316	-0.935613
153.846	27.6842	-0.812855
153.846	29.7368	-0.744438
153.846	31.7895	-0.516946
153.846	33.8421	-0.443818
153.846	35.8947	-0.307091
153.846	37.9474	-0.161368
153.846	40	0

166.154	1	460.085
166.154	3.05263	289.697
