# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-43.0769	37.9474	-0.591765
-43.0769	40	0

-30.7692	1	414.228
-30.7692	3.05263	268.018
-30.7692	5.10526	196.001
-30.7692	7.15789	147.202
-30.7692	9.21053	110.563
-30.7692	11.2632	80.8748
-30.7692	13.3158	56.0101
-30.7692	15.3684	34.5537
-30.7692	17.4211	15.7029
-30.7692	19.4737	-1.10582
-30.7692	21.5263	-4.78867
-30.7692	23.5789	-4.32944
-30.7692	25.6316	-3.81945
-30.7692	27.6842	-3.33662
-30.7692	29.7368	-2.86797
-30.7692	31.7895	-2.37932
-30.7692	33.8421	-1.89518
-30.7692	35.8947	-1.26802
-30.7692	37.9474	-0.646438
-30.7692	40	0

-18.4615	1	412.799
-18.4615	3.05263	267.643
-18.4615	5.10526	195.764
-18.4615	7.15789	146.772
-18.4615	9.21053	110.124
-18.4615	11.2632	80.7394
-18.4615	13.3158	55.8378
-18.4615	15.3684	34.3654
-18.4615	17.4211	15.4798
-18.4615	19.4737	-1.39951
-18.4615	21.5263	-5.10479
-18.4615	23.5789	-4.541
-18.4615	25.6316	-4.06625
-18.4615	27.6842	-3.56405
-18.4615	29.7368	-3.06844
-18.4615	31.7895	-2.46519
-18.4615	33.8421	-1.88381
-18.4615	35.8947	-1.20345
-18.4615	37.9474	-0.625891
-18.4615	40	0

-6.15385	1	412.58
-6.15385	3.05263	266.952
-6.15385	5.10526	195.266
-6.15385	7.15789	147.176
-6.15385	9.21053	110.188
-6.15385	11.2632	80.5153
-6.15385	13.3158	55.6779
-6.15385	15.3684	34.3089
-6.15385	17.4211	15.3651
-6.15385	19.4737	-1.40134
-6.15385	21.5263	-5.09339
-6.15385	23.5789	-4.61881
-6.15385	25.6316	-4.1047
-6.15385	27.6842	-3.58204
-6.15385	29.7368	-2.99756
-6.15385	31.7895	-2.36546
-6.15385	33.8421	-1.79796
-6.15385	35.8947	-1.21249
-6.15385	37.9474	-0.673088
-6.15385	40	0

6.15385	1	413.793
6.15385	3.05263	268.223
6.15385	5.10526	196.109
6.15385	7.15789	147.287
6.15385	9.21053	110.45
6.15385	11.2632	80.7636
6.15385	13.3158	55.8214
6.15385	15.3684	34.578
6.15385	17.4211	15.7237
6.15385	19.4737	-1.02735
6.15385	21.5263	-4.709
6.15385	23.5789	-4.24578
6.15385	25.6316	-3.80774
6.15385	27.6842	-3.33316
6.15385	29.7368	-2.83233
6.15385	31.7895	-2.29292
6.15385	33.8421	-1.82568
6.15385	35.8947	-1.23017
6.15385	37.9474	-0.659698
6.15385	40	0

18.4615	1	416.716
18.4615	3.05263	269.002
18.4615	5.10526	196.862
18.4615	7.15789	147.905
18.4615	9.21053	110.925
18.4615	11.2632	81.1727
18.4615	13.3158	56.4262
18.4615	15.3684	35.0278
18.4615	17.4211	16.26
18.4615	19.4737	-0.637882
18.4615	21.5263	-4.39312
18.4615	23.5789	-3.95535
18.4615	25.6316	-3.52171
18.4615	27.6842	-3.06896
18.4615	29.7368	-2.59811
18.4615	31.7895	-2.09867
18.4615	33.8421	-1.59771
18.4615	35.8947	-1.07887
18.4615	37.9474	-0.540162
18.4615	40	0

30.7692	1	421.729
30.7692	3.05263	272.698
30.7692	5.10526	198.952
30.7692	7.15789	149.571
30.7692	9.21053	112.273
30.7692	11.2632	82.3492
30.7692	13.3158	57.3601
30.7692	15.3684	35.7262
30.7692	17.4211	16.8061
30.7692	19.4737	-0.227506
30.7692	21.5263	-3.90469
30.7692	23.5789	-3.50653
30.7692	25.6316	-3.12861
30.7692	27.6842	-2.7496
30.7692	29.7368	-2.29411
30.7692	31.7895	-1.82601
30.7692	33.8421	-1.35784
30.7692	35.8947	-0.948096
30.7692	37.9474	-0.444662
30.7692	40	0

43.0769	1	427.413
43.0769	3.05263	274.551
43.0769	5.10526	200.299
43.0769	7.15789	150.856
43.0769	9.21053	113.141
43.0769	11.2632	83.0969
43.0769	13.3158	57.8862
43.0769	15.3684	36.2799
43.0769	17.4211	17.2882
43.0769	19.4737	0.356674
43.0769	21.5263	-3.4153
43.0769	23.5789	-3.05835
43.0769	25.6316	-2.74121
43.0769	27.6842	-2.34815
43.0769	29.7368	-2.05501
43.0769	31.7895	-1.62804
43.0769	33.8421	-1.20933
43.0769	35.8947	-0.851045
43.0769	37.9474	-0.437597
43.0769	40	0

55.3846	1	430.615
55.3846	3.05263	276.317
55.3846	5.10526	201.596
55.3846	7.15789	151.759
55.3846	9.21053	114.143
55.3846	11.2632	83.9359
55.3846	13.3158	58.6427
55.3846	15.3684	36.8521
55.3846	17.4211	17.7205
55.3846	19.4737	0.705144
55.3846	21.5263	-3.06263
55.3846	23.5789	-2.74305
55.3846	25.6316	-2.43147
55.3846	27.6842	-2.10801
55.3846	29.7368	-1.78437
55.3846	31.7895	-1.47339
55.3846	33.8421	-1.0091
55.3846	35.8947	-0.715475
55.3846	37.9474	-0.396713
55.3846	40	0

67.6923	1	436.113
67.6923	3.05263	279.202
67.6923	5.10526	203.429
67.6923	7.15789	153.165
67.6923	9.21053	115.283
67.6923	11.2632	84.7006
67.6923	13.3158	59.1964
67.6923	15.3684	37.3569
67.6923	17.4211	18.2049
67.6923	19.4737	1.17321
67.6923	21.5263	-2.70023
67.6923	23.5789	-2.45295
67.6923	25.6316	-2.1454
67.6923	27.6842	-1.86666
67.6923	29.7368	-1.55947
67.6923	31.7895	-1.24122
67.6923	33.8421	-0.890653
67.6923	35.8947	-0.578518
67.6923	37.9474	-0.276895
67.6923	40	0

80	1	439.387
80	3.05263	280.743
80	5.10526	204.623
80	7.15789	153.826
80	9.21053	115.804
80	11.2632	85.3463
80	13.3158	59.7447
80	15.3684	37.8259
80	17.4211	18.6192
80	19.4737	1.55848
80	21.5263	-2.30733
80	23.5789	-2.09184
80	25.6316	-1.82739
80	27.6842	-1.56857
80	29.7368	-1.30542
80	31.7895	-1.00193
80	33.8421	-0.778844
80	35.8947	-0.552989
80	37.9474	-0.283868
80	40	0

92.3077	1	444.127
92.3077	3.05263	282.428
92.3077	5.10526	205.77
92.3077	7.15789	154.709
92.3077	9.21053	116.398
92.3077	11.2632	85.7668
92.3077	13.3158	60.2142
92.3077	15.3684	38.2617
92.3077	17.4211	19.1496
92.3077	19.4737	2.02458
92.3077	21.5263	-1.91375
92.3077	23.5789	-1.7159
92.3077	25.6316	-1.52487
92.3077	27.6842	-1.33163
92.3077	29.7368	-1.15787
92.3077	31.7895	-0.968676
92.3077	33.8421	-0.767866
92.3077	35.8947	-0.481967
92.3077	37.9474	-0.243487
92.3077	40	0

104.615	1	448.719
104.615	3.05263	284.584
104.615	5.10526	207.302
104.615	7.15789	156.03
104.615	9.21053	117.495
104.615	11.2632	86.562
104.615	13.3158	60.904
104.615	15.3684	38.8793
104.615	17.4211	19.5118
104.615	19.4737	2.30314
104.615	21.5263	-1.74972
104.615	23.5789	-1.61811
104.615	25.6316	-1.40935
104.615	27.6842	-1.19609
104.615	29.7368	-1.0006
104.615	31.7895	-0.739408
104.615	33.8421	-0.57998
104.615	35.8947	-0.357857
104.615	37.9474	-0.188859
104.615	40	0

116.923	1	450.259
116.923	3.05263	285.621
116.923	5.10526	207.579
116.923	7.15789	156.293
116.923	9.21053	117.857
116.923	11.2632	87.0594
116.923	13.3158	61.3337
116.923	15.3684	39.2277
116.923	17.4211	19.8418
116.923	19.4737	2.65239
116.923	21.5263	-1.34163
116.923	23.5789	-1.24386
116.923	25.6316	-1.07347
116.923	27.6842	-0.902812
116.923	29.7368	-0.762867
116.923	31.7895	-0.629346
116.923	33.8421	-0.444046
116.923	35.8947	-0.290573
116.923	37.9474	-0.174234
116.923	40	0

129.231	1	454.485
129.231	3.05263	287.354
129.231	5.10526	208.886
129.231	7.15789	157.226
129.231	9.21053	118.447
129.231	11.2632	87.4894
129.231	13.3158	61.7395
129.231	15.3684	39.6124
129.231	17.4211	20.2791
129.231	19.4737	3.07247
129.231	21.5263	-0.989091
129.231	23.5789	-0.898739
129.231	25.6316	-0.807433
129.231	27.6842	-0.68974
129.231	29.7368	-0.613401
129.231	31.7895	-0.503836
129.231	33.8421	-0.392849
129.231	35.8947	-0.255125
129.231	37.9474	-0.135416
129.231	40	0

141.538	1	458.043
141.538	3.05263	289.042
141.538	5.10526	210.268
141.538	7.15789	158.354
141.538	9.21053	119.344
141.538	11.2632	88.2122
141.538	13.3158	62.3089
141.538	15.3684	40.0717
141.538	17.4211	20.6556
141.538	19.4737	3.37337
141.538	21.5263	-0.707703
141.538	23.5789	-0.654339
141.538	25.6316	-0.585142
141.538	27.6842	-0.520158
141.538	29.7368	-0.458202
141.538	31.7895	-0.374525
141.538	33.8421	-0.282603
141.538	35.8947	-0.187145
141.538	37.9474	-0.107788
141.538	40	0

153.846	1	461.31
153.846	3.05263	290.576
153.846	5.10526	211.198
153.846	7.15789	158.901
153.846	9.21053	119.86
153.846	11.2632	88.6702
153.846	13.3158	62.7011
153.846	15.3684	40.4067
153.846	17.4211	20.9354
153.846	19.4737	3.60433
153.846	21.5263	-0.480705
153.846	23.5789	-0.427827
153.846	25.6316	-0.364121
153.846	27.6842	-0.315175
153.846	29.7368	-0.287527
153.846	31.7895	-0.198364
153.846	33.8421	-0.1696
153.846	35.8947	-0.11697
153.846	37.9474	-0.0606903
153.846	40	0

166.154	1	463.561
166.154	3.05263	291.627
166.154	5.10526	211.938
166.154	7.15789	159.52
166.154	9.21053	120.281
166.154	11.2632	89.0287
166.154	13.3158	62.982
166.154	15.3684	40.716
166.154	17.4211	21.2255
166.154	19.4737	3.8643
166.154	21.5263	-0.258568
166.154	23.5789	-0.22188
166.154	25.6316	-0.192812
166.154	27.6842	-0.158871
166.154	29.7368	-0.125911
166.154	31.7895	-0.0816658
166.154	33.8421	-0.0776025
166.154	35.8947	-0.0484662
166.154	37.9474	-0.0204781
166.154	40	0

178.462	1	465.188
178.462	3.05263	292.303
178.462	5.10526	212.511
178.462	7.15789	159.891
178.462	9.21053	120.641
178.462	11.2632	89.3146
178.462	13.3158	63.2403
178.462	15.3684	40.9326
178.462	17.4211	21.3907
178.462	19.4737	4.05267
178.462	21.5263	-0.101587
178.462	23.5789	-0.0782192
178.462	25.6316	-0.0617949
178.462	27.6842	-0.0524191
178.462	29.7368	-0.0436534
178.462	31.7895	-0.0353237
178.462	33.8421	-0.0145455
178.462	35.8947	-0.0138202
178.462	37.9474	-0.00663183
178.462	40	0

190.769	1	466.263
190.769	3.05263	292.74
190.769	5.10526	212.832
190.769	7.15789	160.145
190.769	9.21053	120.826
190.769	11.2632	89.4808
190.769	13.3158	63.3913
190.769	15.3684	41.0328
190.769	17.4211	21.4955
190.769	19.4737	4.12927
190.769	21.5263	-0.0225789
190.769	23.5789	-0.015332
190.769	25.6316	-0.0147222
190.769	27.6842	-0.0141374
190.769	29.7368	-0.0135798
190.769	31.7895	-0.00662463
190.769	33.8421	0
190.769	35.8947	0
190.769	37.9474	0
190.769	40	0

203.077	1	467.114
203.077	3.05263	293.155
203.077	5.10526	212.958
203.077	7.15789	160.248
203.077	9.21053	120.914
203.077	11.2632	89.5362
203.077	13.3158	63.4427
203.077	15.3684	41.0818
203.077	17.4211	21.5362
203.077	19.4737	4.16025
203.077	21.5263	0
203.077	23.5789	0
203.077	25.6316	0
203.077	27.6842	0
203.077	29.7368	0
203.077	31.7895	0
203.077	33.8421	0
203.077	35.8947	0
203.077	37.9474	0
203.077	40	0

215.385	1	467.334
215.385	3.05263	293.238
215.385	5.10526	213.012
215.385	7.15789	160.293
215.385	9.21053	120.96
215.385	11.2632	89.5745
215.385	13.3158	63.458
215.385	15.3684	41.0931
215.385	17.4211	21.5362
215.385	19.4737	4.16025
215.385	21.5263	0
215.385	23.5789	0
215.385	25.6316	0
215.385	27.6842	0
215.385	29.7368	0
215.385	31.7895	0
215.385	33.8421	0
215.385	35.8947	0
215.385	37.9474	0
215.385	40	0

227.692	1	467.334
227.692	3.05263	293.238
227.692	5.10526	213.012
227.692	7.15789	160.293
227.692	9.21053	120.96
227.692	11.2632	89.5745
227.692	13.3158	63.458
227.692	15.3684	41.0931
227.692	17.4211	21.5362
227.692	19.4737	4.16025
227.692	21.5263	0
227.692	23.5789	0
227.692	25.6316	0
227.692	27.6842	0
227.692	29.7368	0
227.692	31.7895	0
227.692	33.8421	0
227.692	35.8947	0
227.692	37.9474	0
227.692	40	0

240	1	467.334
240	3.05263	293.238
240	5.10526	213.012
240	7.15789	160.293
240	9.21053	120.96
240	11.2632	89.5745
240	13.3158	63.458
240	15.3684	41.0931
240	17.4211	21.5362
240	19.4737	4.16025
240	21.5263	0
240	23.5789	0
240	25.6316	0
240	27.6842	0
240	29.7368	0
240	31.7895	0
240	33.8421	0
240	35.8947	0
240	37.9474	0
240	40	0

