# d (nm)	h (nm)	F (kT)
# Total number of tethers: 156
-240	1	467.334
-240	3.05263	293.238
-240	5.10526	213.012
-240	7.15789	160.293
-240	9.21053	120.96
-240	11.2632	89.5745
-240	13.3158	63.458
-240	15.3684	41.0931
-240	17.4211	21.5362
-240	19.4737	4.16025
-240	21.5263	0
-240	23.5789	0
-240	25.6316	0
-240	27.6842	0
-240	29.7368	0
-240	31.7895	0
-240	33.8421	0
-240	35.8947	0
-240	37.9474	0
-240	40	0

-227.692	1	467.334
-227.692	3.05263	293.238
-227.692	5.10526	213.012
-227.692	7.15789	160.293
-227.692	9.21053	120.96
-227.692	11.2632	89.5745
-227.692	13.3158	63.458
-227.692	15.3684	41.0931
-227.692	17.4211	21.5362
-227.692	19.4737	4.16025
-227.692	21.5263	0
-227.692	23.5789	0
-227.692	25.6316	0
-227.692	27.6842	0
-227.692	29.7368	0
-227.692	31.7895	0
-227.692	33.8421	0
-227.692	35.8947	0
-227.692	37.9474	0
-227.692	40	0

-215.385	1	466.965
-215.385	3.05263	293.098
-215.385	5.10526	212.921
-215.385	7.15789	160.216
-215.385	9.21053	120.895
-215.385	11.2632	89.5432
-215.385	13.3158	63.4264
-215.385	15.3684	41.0572
-215.385	17.4211	21.5088
-215.385	19.4737	4.1388
-215.385	21.5263	-0.0133156
-215.385	23.5789	0
-215.385	25.6316	0
-215.385	27.6842	0
-215.385	29.7368	0
-215.385	31.7895	0
-215.385	33.8421	0
-215.385	35.8947	0
-215.385	37.9474	0
-215.385	40	0

-203.077	1	466.697
-203.077	3.05263	292.997
-203.077	5.10526	212.859
-203.077	7.15789	160.176
-203.077	9.21053	120.858
-203.077	11.2632	89.4844
-203.077	13.3158	63.3793
-203.077	15.3684	41.0327
-203.077	17.4211	21.4887
-203.077	19.4737	4.11446
-203.077	21.5263	-0.0464993
-203.077	23.5789	-0.0383591
-203.077	25.6316	-0.0303165
-203.077	27.6842	-0.0290311
-203.077	29.7368	-0.0214403
-203.077	31.7895	-0.0205183
-203.077	33.8421	-0.00666156
-203.077	35.8947	0
-203.077	37.9474	0
-203.077	40	0

-190.769	1	465.635
-190.769	3.05263	292.521
-190.769	5.10526	212.488
-190.769	7.15789	159.941
-190.769	9.21053	120.719
-190.769	11.2632	89.4115
-190.769	13.3158	63.3131
-190.769	15.3684	40.9659
-190.769	17.4211	21.4064
-190.769	19.4737	4.03968
-190.769	21.5263	-0.107547
-190.769	23.5789	-0.102537
-190.769	25.6316	-0.0851809
-190.769	27.6842	-0.0619638
-190.769	29.7368	-0.0463345
-190.769	31.7895	-0.0439877
-190.769	33.8421	-0.0355368
-190.769	35.8947	-0.021062
-190.769	37.9474	-0.0200236
-190.769	40	0

-178.462	1	464.601
-178.462	3.05263	292.041
-178.462	5.10526	212.214
-178.462	7.15789	159.726
-178.462	9.21053	120.478
-178.462	11.2632	89.1646
-178.462	13.3158	63.126
-178.462	15.3684	40.8054
-178.462	17.4211	21.2799
-178.462	19.4737	3.94006
-178.462	21.5263	-0.198752
-178.462	23.5789	-0.170901
-178.462	25.6316	-0.14373
-178.462	27.6842	-0.117745
-178.462	29.7368	-0.105604
-178.462	31.7895	-0.0879973
-178.462	33.8421	-0.0773856
-178.462	35.8947	-0.0481984
-178.462	37.9474	-0.0271015
-178.462	40	0

-166.154	1	462.535
-166.154	3.05263	291.097
-166.154	5.10526	211.673
-166.154	7.15789	159.282
-166.154	9.21053	120.127
-166.154	11.2632	88.9416
-166.154	13.3158	62.9468
-166.154	15.3684	40.6316
-166.154	17.4211	21.1243
-166.154	19.4737	3.79244
-166.154	21.5263	-0.31354
-166.154	23.5789	-0.29271
-166.154	25.6316	-0.260521
-166.154	27.6842	-0.217354
-166.154	29.7368	-0.182095
-166.154	31.7895	-0.142806
-166.154	33.8421	-0.0986213
-166.154	35.8947	-0.0622308
-166.154	37.9474	-0.0272242
-166.154	40	0

-153.846	1	459.305
-153.846	3.05263	289.948
-153.846	5.10526	210.736
-153.846	7.15789	158.687
-153.846	9.21053	119.684
-153.846	11.2632	88.4829
-153.846	13.3158	62.5001
-153.846	15.3684	40.2414
-153.846	17.4211	20.758
-153.846	19.4737	3.4817
-153.846	21.5263	-0.593158
-153.846	23.5789	-0.512786
-153.846	25.6316	-0.435071
-153.846	27.6842	-0.354776
-153.846	29.7368	-0.257967
-153.846	31.7895	-0.19558
-153.846	33.8421	-0.147924
-153.846	35.8947	-0.0901159
-153.846	37.9474	-0.0475045
-153.846	40	0

-141.538	1	456.23
-141.538	3.05263	288.174
-141.538	5.10526	209.464
-141.538	7.15789	157.643
-141.538	9.21053	118.919
-141.538	11.2632	87.9325
-141.538	13.3158	62.1183
-141.538	15.3684	39.9388
-141.538	17.4211	20.4531
-141.538	19.4737	3.1778
-141.538	21.5263	-0.930298
-141.538	23.5789	-0.828388
-141.538	25.6316	-0.742443
-141.538	27.6842	-0.598394
-141.538	29.7368	-0.477193
-141.538	31.7895	-0.379858
-141.538	33.8421	-0.273851
-141.538	35.8947	-0.172442
-141.538	37.9474	-0.0814315
-141.538	40	0

-129.231	1	451.735
-129.231	3.05263	286.145
-129.231	5.10526	208.329
-129.231	7.15789	156.782
-129.231	9.21053	118.164
-129.231	11.2632	87.1362
-129.231	13.3158	61.384
-129.231	15.3684	39.3137
-129.231	17.4211	19.994
-129.231	19.4737	2.77529
-129.231	21.5263	-1.24977
-129.231	23.5789	-1.11729
-129.231	25.6316	-0.96557
-129.231	27.6842	-0.832333
-129.231	29.7368	-0.72395
-129.231	31.7895	-0.615309
-129.231	33.8421	-0.498644
-129.231	35.8947	-0.330426
-129.231	37.9474	-0.168357
-129.231	40	0

-116.923	1	447.405
-116.923	3.05263	283.782
-116.923	5.10526	207.121
-116.923	7.15789	155.747
-116.923	9.21053	117.339
-116.923	11.2632	86.559
-116.923	13.3158	60.8476
-116.923	15.3684	38.8017
-116.923	17.4211	19.5619
-116.923	19.4737	2.36281
-116.923	21.5263	-1.64045
-116.923	23.5789	-1.47184
-116.923	25.6316	-1.31133
-116.923	27.6842	-1.14454
-116.923	29.7368	-0.967778
-116.923	31.7895	-0.821349
-116.923	33.8421	-0.614374
-116.923	35.8947	-0.453441
-116.923	37.9474	-0.235623
-116.923	40	0

-104.615	1	442.197
-104.615	3.05263	281.925
-104.615	5.10526	205.455
-104.615	7.15789	154.575
-104.615	9.21053	116.4
-104.615	11.2632	85.8563
-104.615	13.3158	60.2603
-104.615	15.3684	38.1897
-104.615	17.4211	18.931
-104.615	19.4737	1.77795
-104.615	21.5263	-2.13195
-104.615	23.5789	-1.92774
-104.615	25.6316	-1.67211
-104.615	27.6842	-1.40657
-104.615	29.7368	-1.22405
-104.615	31.7895	-0.994471
-104.615	33.8421	-0.742925
-104.615	35.8947	-0.500573
-104.615	37.9474	-0.26828
-104.615	40	0

-92.3077	1	437.318
-92.3077	3.05263	278.77
-92.3077	5.10526	203.285
-92.3077	7.15789	152.612
-92.3077	9.21053	114.963
-92.3077	11.2632	84.6704
-92.3077	13.3158	59.3309
-92.3077	15.3684	37.4891
-92.3077	17.4211	18.3713
-92.3077	19.4737	1.28256
-92.3077	21.5263	-2.64267
-92.3077	23.5789	-2.3513
-92.3077	25.6316	-2.09471
-92.3077	27.6842	-1.84734
-92.3077	29.7368	-1.551
-92.3077	31.7895	-1.20588
-92.3077	33.8421	-0.893724
-92.3077	35.8947	-0.520719
-92.3077	37.9474	-0.324075
-92.3077	40	0

-80	1	432.285
-80	3.05263	276.552
-80	5.10526	201.878
-80	7.15789	151.756
-80	9.21053	114.302
-80	11.2632	84.1585
-80	13.3158	58.6894
-80	15.3684	36.8723
-80	17.4211	17.7304
-80	19.4737	0.736654
-80	21.5263	-3.04928
-80	23.5789	-2.74878
-80	25.6316	-2.40167
-80	27.6842	-2.1032
-80	29.7368	-1.74388
-80	31.7895	-1.44701
-80	33.8421	-1.09482
-80	35.8947	-0.756524
-80	37.9474	-0.357937
-80	40	0

-67.6923	1	427.264
-67.6923	3.05263	273.792
-67.6923	5.10526	199.688
-67.6923	7.15789	150.116
-67.6923	9.21053	113.019
-67.6923	11.2632	83.0605
-67.6923	13.3158	57.8394
-67.6923	15.3684	36.2069
-67.6923	17.4211	17.1547
-67.6923	19.4737	0.217233
-67.6923	21.5263	-3.57313
-67.6923	23.5789	-3.21044
-67.6923	25.6316	-2.84941
-67.6923	27.6842	-2.40096
-67.6923	29.7368	-2.01946
-67.6923	31.7895	-1.63763
-67.6923	33.8421	-1.25135
-67.6923	35.8947	-0.805024
-67.6923	37.9474	-0.431875
-67.6923	40	0

-55.3846	1	423.273
-55.3846	3.05263	272.071
-55.3846	5.10526	198.933
-55.3846	7.15789	149.734
-55.3846	9.21053	112.297
-55.3846	11.2632	82.3617
-55.3846	13.3158	57.2505
-55.3846	15.3684	35.6962
-55.3846	17.4211	16.6581
-55.3846	19.4737	-0.312354
-55.3846	21.5263	-4.10438
-55.3846	23.5789	-3.6739
-55.3846	25.6316	-3.21271
-55.3846	27.6842	-2.8155
-55.3846	29.7368	-2.39784
-55.3846	31.7895	-1.91585
-55.3846	33.8421	-1.4148
-55.3846	35.8947	-0.917544
-55.3846	37.9474	-0.482983
-55.3846	40	0

-43.0769	1	418.687
-43.0769	3.05263	269.91
-43.0769	5.10526	197.531
-43.0769	7.15789	148.574
-43.0769	9.21053	111.353
-43.0769	11.2632	81.543
-43.0769	13.3158	56.5523
-43.0769	15.3684	34.9477
-43.0769	17.4211	16.1138
-43.0769	19.4737	-0.778726
-43.0769	21.5263	-4.45189
-43.0769	23.5789	-4.04286
-43.0769	25.6316	-3.58252
-43.0769	27.6842	-3.12545
-43.0769	29.7368	-2.63927
-43.0769	31.7895	-2.1508
-43.0769	33.8421	-1.63155
-43.0769	35.8947	-1.1509
