X_coordinates_left_wheel_left = 12.1,12.4,11.4,11.3,11.6,11,11,11.7,11.4,11.3,11.7,12,11,13.2,12.5,12.2,12.5,12.3,11,12.3
Y_coordinates_left_wheel_left = 34.9,34.7,34.9,35.3,35.7,35.4,35.4,35.2,34.9,35.3,35.4,35.5,35.4,36.5,36.1,35.2,36.1,35.9,35.4,35.9
X_coordinates_right_wheel_left= 10,10,10.3,11.5,11.5,11.1,10.5,11.3,10.5,10.3,10.9,10.9,10.2,12.8,11.7,10.9,12.4,12,11.1,11.6
Y_coordinates_right_wheel_left= 47,47,47.4,47.9,48.4,48.2,48.2,47.5,48,47.4,47.6,47.6,48.2,48.9,48.5,47.9,48.7,48.9,48.2,48.9
