X_coordinates_left_wheel_straight = 22.2,13,18.7,17.5,20.5,25.9,20.9,24.6,15.1,21.6,22.3,22.2,22.1,22,24.2,24.7,25.5,25.8,25.4,22
Y_coordinates_left_wheel_straight = 65,60.2,61.6,63.8,69,67.8,64.5,68,62.5,66.2,66.8,67,67.8,66.3,68,68.3,68.2,67.7,67.5,66.3
X_coordinates_right_wheel_straight= 33.8,22.7,30,28.5,30,38.1,32.5,36.8,26.4,33.3,34.3,34.1,34.5,34.1,36.6,37.5,38.1,38.1,37.5,24.4
Y_coordinates_right_wheel_straight= 69,68,68.8,69.3,64.5,67.2,68.7,68,68,68.8,68.4,68.6,67,68.7,67.7,67.6,67.8,67.8,67.6,68.4
